iter,dual,phi,best_dual,best_phi,best_primal,gap,rel_gap,subgrad_norm,direction_norm,nu,alpha,zeta,phi_level,delta,vertex_primal,weak_duality_margin,lambda_norm,radius
1.0,-13.583332102694158,13.583332102694158,-13.583332102694158,13.583332102694158,-7.062984002037196,6.520348100656961,0.923171863163824,2.5534972294202634,2.5534972294202634,0.5,1.0,1.0,12.583332102694158,1.0,-7.062984002037196,6.520348100656961,0.0,63.46818682968101
5.0,-10.803517116779185,10.803517116779185,-10.803517116779185,10.803517116779185,-9.666078129350876,1.1374389874283093,0.11767326646931353,1.3635521980243466,1.2314909720799896,0.14953487812212204,0.518870808241387,0.518870808241387,10.356303521279226,0.4472135954999579,-8.94424252004216,1.8592745967370252,1.7537840153557895,63.46818682968101
10.0,-10.457137249837334,10.457137249837334,-10.457137249837334,10.457137249837334,-9.960794438237034,0.49634281160030014,0.04982964106707819,1.223114792113678,0.7668075889114835,0.08891397050194613,0.15725090080830992,0.15725090080830992,10.140909483820497,0.31622776601683794,-8.961127455150047,1.4960097946872875,2.14334899968938,63.46818682968101
15.0,-10.380290861198025,10.380290861198025,-10.372305499948805,10.372305499948805,-10.112935829712404,0.259369670236401,0.02564731692199189,2.3830924224516217,0.5359354404428938,0.06559965570884768,0.1,0.07264987659616329,10.114106610201643,0.2581988897471611,-4.7011613672516885,5.679129493946337,2.27623522729144,63.46818682968101
20.0,-10.334821339321582,10.334821339321582,-10.331642797299208,10.331642797299208,-10.14213115256048,0.18951164473872772,0.018685584113244644,1.635969375804384,0.4140473353452517,0.052868563172028205,0.1,0.055004690948187544,10.10803599954923,0.22360679774997896,-7.658425540751798,2.676395798569784,2.264208733520537,63.46818682968101
25.0,-10.293387031912223,10.293387031912223,-10.293387031912223,10.293387031912223,-10.168451862348828,0.12493516956339512,0.012286547770954007,1.5221328611418734,0.33307393162079757,0.044721359549995794,0.1,0.03002794034118448,10.093387031912224,0.2,-7.9764985849442755,2.3168884469679476,2.2859916356861434,63.46818682968101
30.0,-10.262265185287495,10.262265185287495,-10.262265185287495,10.262265185287495,-10.176533255283896,0.08573193000359858,0.008424473035459746,1.1658334906788663,0.4127423108497129,0.03900578865534527,0.1,0.029795637642199668,10.07969099945244,0.18257418583505536,-8.903097457299026,1.3591677279884689,2.315153145048681,63.46818682968101
35.0,-10.253056638828014,10.253056638828014,-10.253056638828014,10.253056638828014,-10.185560907240717,0.0674957315872966,0.006626609197272111,1.4117403003595748,0.36417060181614763,0.03474713255853982,0.1,0.024694880139610915,10.084025787882311,0.1690308509457033,-8.260045963168674,1.99301067565934,2.33301104200483,63.46818682968101
40.0,-10.241244653305705,10.241244653305705,-10.241244653305705,10.241244653305705,-10.185745114585941,0.05549953871976321,0.005448746075560846,1.7806659375741214,0.29374645214717293,0.031435835742073384,0.1,0.0269532828143055,10.083130770297286,0.15811388300841897,-7.070473472068979,3.1707711812367254,2.346631860210027,63.46818682968101
45.0,-10.239628141930657,10.239628141930657,-10.235959613025294,10.235959613025294,-10.189190897848661,0.046768715176632725,0.004590032284752603,2.166368337708704,0.2740311357662668,0.02877800071234835,0.1,0.016096330265617912,10.086888414525308,0.14907119849998599,-5.546476367303887,4.69315177462677,2.3582685769093548,63.46818682968101
50.0,-10.22686495757221,10.22686495757221,-10.225439577531331,10.225439577531331,-10.193112642078338,0.0323269354529927,0.0031714488584716903,1.1325292214905762,0.3678738112729593,0.026591479484724942,0.1,0.03327769560750594,10.084018221294022,0.1414213562373095,-8.94424252004216,1.2826224375300512,2.359973771826329,63.46818682968101
55.0,-10.234815488749406,10.234815488749406,-10.225439577531331,10.225439577531331,-10.194363403014405,0.031076174516925903,0.003048368327514878,1.767974641103915,0.23313066687633807,0.024756998321195454,0.1,0.009632310453556503,10.090599605038683,0.13483997249264842,-7.1090811571628905,3.125734331586516,2.3560934134118887,63.46818682968101
60.0,-10.223553112375198,10.223553112375198,-10.223553112375198,10.223553112375198,-10.194363403014405,0.029189709360792904,0.002863318503258546,1.6834975968311914,0.3722818166274697,0.023192980697614506,0.1,0.02515576440236491,10.094453667501618,0.12909944487358055,-7.389388953838801,2.834164158536397,2.370274299440536,63.46818682968101
65.0,-10.22784297822898,10.22784297822898,-10.221735837348438,10.221735837348438,-10.194363403014405,0.027372434334033358,0.0026850557756200365,2.282678032015502,0.3027048870856854,0.02184162703410521,0.1,0.01002117964210523,10.09770110275923,0.12403473458920847,-5.0172239803828145,5.210618997846165,2.3803355919796334,63.46818682968101
70.0,-10.224744578789208,10.224744578789208,-10.221735837348438,10.221735837348438,-10.196658362246533,0.025077475101905833,0.002459381712224077,1.149629123452509,0.20597986110302227,0.020660768632279128,0.1,0.010901654972058925,10.102212976414998,0.11952286093343936,-8.903097457299026,1.321647121490182,2.3734095512474656,63.46818682968101
75.0,-10.221127700677746,10.221127700677746,-10.221127700677746,10.221127700677746,-10.196658362246533,0.024469338431213572,0.0023997409309908934,2.0876054189361675,0.2980148606471729,0.019618873042551412,0.1,0.009757513002966511,10.105657646839822,0.11547005383792514,-5.863031315506095,4.358096385171651,2.3788098695029136,63.46818682968101
80.0,-10.219227532975971,10.219227532975971,-10.216274759415128,10.216274759415128,-10.197352176697132,0.018922582717996406,0.0018556368741719116,2.271588700566916,0.19315629410894403,0.018691859765265256,0.1,0.010439083990608255,10.104471360540138,0.11180339887498948,-5.059112308432684,5.160115224543287,2.383048829288579,63.46818682968101
85.0,-10.21323960563856,10.21323960563856,-10.210972143974523,10.210972143974523,-10.197352176697132,0.013619967277390899,0.0013356376284144708,2.3335969403759464,0.3447746418045713,0.017861001627710652,0.1,0.011911149777104918,10.102506915065195,0.10846522890932808,-4.767564925506583,5.445674680131977,2.3889340414961717,63.46818682968101
90.0,-10.21594932218114,10.21594932218114,-10.210972143974523,10.210972143974523,-10.197760539739855,0.013211604234667718,0.001295539759262159,1.5266570592983475,0.22831986581159844,0.017111501601339014,0.1,0.007319409150522775,10.105562888635577,0.10540925533894598,-7.885267545475663,2.330681776705478,2.3879169618280423,63.46818682968101
