instance,n,blocks,rank_dim,avg_block_size,a1_value,a1_dual_bound,a1_gap,a1_rel_gap,a1_iter,a1_time,a1_status,a1_radius,a1_polish_iter,a1_polish_gap,a1_kkt,a1_feas,a2_cold_value,a2_cold_iter,a2_cold_time,a2_cold_success,a2_cold_kkt,a2_warm_value,a2_warm_iter,a2_warm_time,a2_warm_success,a2_warm_kkt,a1_plus_a2_warm_time,a2_warm_speedup_vs_cold,rel_value_diff_a1_minus_a2_cold,rel_value_diff_a1_minus_a2_warm
small_dense_seed0,50,5,20,10.0,-5.094189108246017,-5.094267129821364,7.802157534708698e-05,1.531579878351839e-05,5000,0.1134199170046486,max_iter,30.924958606960207,1500,4.212610605902611e-06,1.5775243732391015e-06,1.5543122344752192e-15,-5.0941891099492365,12,0.002714875037781894,True,9.11731010568916e-07,-5.094189109936318,4,0.0009183749789372087,True,5.542980576231256e-06,0.1143382919835858,2.9561726963899746,3.3434561432035573e-10,3.3180967487416966e-10
small_dense_seed1,50,5,20,10.0,-8.086750658992118,-8.086815732194449,6.50732023306233e-05,8.04689115253785e-06,862,0.027921249973587692,optimal_gap,31.23546772841173,1500,7.640949189230417e-06,6.957374979590523e-06,8.881784197001252e-16,-8.086750685996037,10,0.0018986249924637377,True,5.769242077252351e-06,-8.08675068599518,5,0.0009329580352641642,True,3.700173256100239e-06,0.028854208008851856,2.0350593710532197,3.339279291444466e-09,3.3391731943995736e-09
medium_dense_seed0,100,10,35,10.0,-10.202283561630477,-10.20252607708074,0.00024251545026388044,2.3770702784222837e-05,5000,0.12481604202184826,max_iter,63.46818682968101,1500,0.00011398151639985254,3.528830353088633e-05,1.9984014443252818e-15,-10.20233167325996,17,0.021271208999678493,True,2.767927871968186e-06,-10.20233167323029,8,0.008377499994821846,True,6.374197763087611e-06,0.1331935420166701,2.5390879155865447,4.715748421512905e-06,4.715745513320022e-06
medium_dense_seed1,100,10,35,10.0,-13.351176928738735,-13.351410620674248,0.00023369193551303624,1.7503470799642288e-05,5000,0.16690770798595622,max_iter,63.33389484355945,1500,6.372243744035e-05,3.882031059728607e-05,2.886579864025407e-15,-13.351215713339483,19,0.01760070800082758,True,3.925473887108391e-06,-13.351215713346948,7,0.015728458005469292,True,2.2625306627530762e-06,0.18263616599142551,1.1190358263160474,2.9049490010147503e-06,2.904949560082173e-06
medium_sparse_seed0,150,15,45,10.0,-19.614595786722226,-19.61497186432183,0.0003760775996042298,1.917335456174984e-05,5000,0.20953737600939348,max_iter,93.92491899232992,1500,0.00013283877558961356,6.262987655551166e-05,2.886579864025407e-15,-19.614665200993326,21,0.06688400002894923,True,1.4088958981922042e-06,-19.614665200951123,8,0.02383737498894334,True,3.0108664036330945e-06,0.23337475099833682,2.8058458643190587,3.538896554582141e-06,3.5388944030013716e-06
medium_sparse_seed1,150,15,45,10.0,-15.952816358995927,-15.953412722569148,0.0005963635732211259,3.73829648508949e-05,5000,0.22131216601701453,max_iter,96.9938945396999,1500,0.00030619588185135755,9.652805454251301e-05,2.4424906541753444e-15,-15.952980959760648,22,0.06572658300865442,True,1.2603963698725086e-06,-15.952980959740241,9,0.027166792016942054,True,6.148705983700671e-06,0.2484789580339566,2.4193722603561465,1.0317868813141625e-05,1.0317867533971489e-05
large_sparse_seed0,160,20,50,8.0,-17.234162862526215,-17.234976476475087,0.0008136139488712502,4.720936870338877e-05,5000,0.2616335010388866,max_iter,109.84291217437084,1500,0.0007225465546130128,0.0001907461729167994,2.9976021664879227e-15,-17.234542881268563,31,0.10436587501317263,True,8.990223752121544e-07,-17.234542881223852,13,0.046806917001958936,True,3.4285130240944235e-06,0.30844041804084554,2.229710514982321,2.204983009795797e-05,2.204982750375422e-05
large_sparse_seed1,160,20,50,8.0,-18.364381639407238,-18.365210457966647,0.0008288185594089725,4.513185228248856e-05,5000,0.21047445794101804,max_iter,112.48188130313953,1500,0.0003775525308071792,9.180494780326948e-05,2.6645352591003757e-15,-18.36455750520949,27,0.10084833396831527,True,1.6000098050715326e-06,-18.364557505167856,13,0.04994799999985844,True,1.0111689432024886e-05,0.2604224579408765,2.0190665085409045,9.576370255685103e-06,9.576367988608812e-06
