setting,nu0,step_power,delta0,delta_power,alpha_min,a1_value,a1_dual_bound,a1_rel_gap,rel_to_a2,dual_iter,polish_iter,time,kkt
nu0=0.2,0.2,0.75,1.0,0.5,0.1,-10.20227308045977,-10.20432648089262,0.00020126891494234446,5.743079333908791e-06,3500,800,0.08524629101157188,5.707423643813617e-05
nu0=0.5,0.5,0.75,1.0,0.5,0.1,-10.202262061172071,-10.202557202120131,2.8928971466345334e-05,6.823154757067211e-06,3500,800,0.08355095802107826,5.1050123564459e-05
nu0=1.0,1.0,0.75,1.0,0.5,0.1,-10.20214871596293,-10.202730416777444,5.701748040627924e-05,1.793289052845398e-05,3500,800,0.0826705830404535,8.403035894025575e-05
p=0.60,0.5,0.6,1.0,0.5,0.1,-10.202260565762947,-10.203019193704595,7.435880869325153e-05,6.9697299883400264e-06,3500,800,0.08131158299511299,6.0936173632747754e-05
p=0.90,0.5,0.9,1.0,0.5,0.1,-10.202262085095418,-10.202906009965943,6.311589186342717e-05,6.820809866935694e-06,3500,800,0.08212374994764104,5.071504402497254e-05
alpha_min=0.3,0.5,0.75,1.0,0.5,0.3,-10.202262614966509,-10.202627617860584,3.5776661300529024e-05,6.768873593153028e-06,3500,800,0.08226724993437529,5.293738782141804e-05
